Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Willson Contreras,31,125,495,428,55,113,27,0,20,67,6,3,51,111,0.264,0.358,0.467,0.826,124,200,12,13,1,2,0,Right,No
2,2023,1B,Paul Goldschmidt,35,154,687,593,89,159,31,0,25,80,11,2,87,161,0.268,0.363,0.447,0.81,120,265,12,3,0,3,6,Right,No
3,2023,2B,Nolan Gorman,23,119,464,406,59,96,17,0,27,76,7,2,53,148,0.236,0.328,0.478,0.805,117,194,5,3,0,2,1,Left,No
4,2023,SS,Paul DeJong,29,81,306,279,38,65,11,0,13,32,4,4,21,87,0.233,0.297,0.412,0.71,92,115,8,5,0,1,0,Right,No
5,2023,3B,Nolan Arenado,32,144,612,560,71,149,26,2,26,93,3,3,41,101,0.266,0.315,0.459,0.774,109,257,21,3,0,8,5,Right,No
6,2023,LF,Tyler O'Neill,28,72,266,238,27,55,14,0,9,21,5,0,28,67,0.231,0.312,0.403,0.715,94,96,5,0,0,0,0,Right,No
7,2023,CF,Lars Nootbaar,25,117,503,426,74,111,23,1,14,46,11,1,72,99,0.261,0.367,0.418,0.784,115,178,7,1,1,3,2,Left,No
8,2023,RF,Jordan Walker,21,117,465,420,51,116,19,2,16,51,7,4,37,104,0.276,0.342,0.445,0.787,114,187,9,6,0,2,0,Right,No
9,2023,DH,Alec Burleson,24,107,347,315,34,77,20,1,8,36,3,1,23,45,0.244,0.3,0.39,0.691,87,123,13,3,1,2,0,Left,No
10,2023,UT,Tommy Edman,28,137,528,479,69,119,25,4,13,47,27,4,35,84,0.248,0.307,0.399,0.705,91,191,9,7,3,4,1,Right,Yes
11,2023,2B,Brendan Donovan,26,95,371,327,48,93,10,1,11,34,5,1,33,53,0.284,0.365,0.422,0.787,115,138,4,9,1,1,2,Left,No
12,2023,OF,Dylan Carlson,24,76,255,219,27,48,8,1,5,27,3,0,26,49,0.219,0.318,0.333,0.651,79,73,4,7,0,3,0,Right,Yes
13,2023,C,Andrew Knizner,28,70,241,224,30,54,11,0,10,31,2,0,12,62,0.241,0.288,0.424,0.712,92,95,8,3,1,1,0,Right,No
14,2023,SS,Masyn Winn,21,37,137,122,8,21,2,0,2,12,2,1,10,26,0.172,0.23,0.238,0.467,29,29,1,0,2,3,0,Right,No
15,2023,OF,Richie Palacios,26,32,102,93,9,24,6,0,6,16,2,0,6,11,0.258,0.307,0.516,0.823,120,48,1,1,1,1,0,Left,No
16,2023,DH,Luken Baker,26,33,99,86,9,18,3,0,2,10,0,0,13,31,0.209,0.313,0.314,0.627,73,27,1,0,0,0,0,Right,No
17,2023,IF,Taylor Motter,33,29,82,76,3,13,3,0,0,2,0,0,5,31,0.171,0.232,0.211,0.442,23,16,0,1,0,0,0,Right,No
18,2023,OF,Juan Yepez,25,28,65,60,5,11,1,0,2,2,0,1,4,20,0.183,0.246,0.3,0.546,49,18,0,1,0,0,0,Right,No
19,2023,IF,José Fermín,24,21,61,51,2,12,1,0,0,4,0,1,6,8,0.235,0.339,0.255,0.594,67,13,1,2,2,0,0,Right,No
20,2023,C,Iván Herrera,23,13,44,37,6,11,2,0,0,4,0,0,5,11,0.297,0.409,0.351,0.76,112,13,1,2,0,0,0,Right,No
21,2023,OF,Óscar Mercado,28,20,32,31,3,9,3,0,0,5,2,1,1,4,0.29,0.313,0.387,0.7,90,12,0,0,0,0,0,Right,No
22,2023,IF,Juniel Querecuto,30,9,21,20,2,2,1,0,0,0,0,0,1,6,0.1,0.143,0.15,0.293,-19,3,0,0,0,0,0,Right,Yes
23,2023,IF,Irving Lopez,28,5,12,11,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,0,1,0,Left,No
24,2023,DH,Michael Siani,23,5,5,5,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
25,2023,C,Tres Barrera,28,6,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
26,2023,P,Adam Wainwright,41,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
27,2023,P,Jordan Hicks,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
28,2023,P,Jordan Montgomery,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
29,2023,P,Jack Flaherty,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
30,2023,P,Drew Rom,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
31,2023,P,Matthew Liberatore,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
32,2023,P,John King,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
33,2023,P,Jake Woodford,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
34,2023,P,James Naile,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,2023,P,Ryan Tepera,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
36,2023,P,Génesis Cabrera,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
37,2023,P,Zack Thompson,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
38,2023,P,Casey Lawrence,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
39,2023,P,Guillermo Zuñiga,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
40,2023,P,Ryan Helsley,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2023,P,JoJo Romero,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
42,2023,P,Drew VerHagen,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
43,2023,P,Andre Pallante,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2023,P,Chris Stratton,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2023,P,Packy Naughton,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2023,P,Kyle Leahy,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes
47,2023,P,Dakota Hudson,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2023,P,Andrew Suárez,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
49,2023,P,Miles Mikolas,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2023,P,Steven Matz,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
51,2023,P,Giovanny Gallegos,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
52,2023,P,Jacob Barnes,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2022,C,Andrew Knizner,27,96,293,260,28,56,10,0,4,25,0,1,26,62,0.215,0.301,0.3,0.601,74,78,9,6,1,0,0,Right,No
2,2022,1B,Paul Goldschmidt,34,151,651,561,106,178,41,0,35,115,7,0,79,141,0.317,0.404,0.578,0.981,177,324,7,5,0,4,1,Right,No
3,2022,2B,Nolan Gorman,22,89,313,283,44,64,13,0,14,35,1,0,28,103,0.226,0.3,0.42,0.721,104,119,2,2,0,0,0,Left,No
4,2022,SS,Tommy Edman,27,153,630,577,95,153,31,4,13,57,32,3,46,111,0.265,0.324,0.4,0.725,107,231,10,5,1,1,2,Right,Yes
5,2022,3B,Nolan Arenado,31,148,620,557,73,163,42,1,30,103,5,3,52,72,0.293,0.358,0.533,0.891,151,297,15,7,0,4,3,Right,No
6,2022,LF,Tyler O'Neill,27,96,383,334,56,76,11,1,14,58,14,4,38,103,0.228,0.308,0.392,0.7,99,131,9,4,0,7,0,Right,No
7,2022,CF,Harrison Bader,28,72,264,246,35,63,7,3,5,21,15,2,13,47,0.256,0.303,0.37,0.673,92,91,4,4,0,1,0,Right,No
8,2022,RF,Lars Nootbaar,24,108,347,290,53,66,16,3,14,40,4,1,51,71,0.228,0.34,0.448,0.788,124,130,3,1,0,5,1,Left,No
9,2022,DH,Albert Pujols,42,109,351,307,42,83,14,0,24,68,1,2,28,55,0.27,0.345,0.55,0.895,151,169,13,10,0,6,1,Right,No
10,2022,OF,Dylan Carlson,23,128,488,432,56,102,30,4,8,42,5,2,45,94,0.236,0.316,0.38,0.695,99,164,6,7,0,4,1,Right,Yes
11,2022,UT,Brendan Donovan,25,126,468,391,64,110,21,1,5,45,2,3,60,70,0.281,0.394,0.379,0.773,124,148,8,14,1,2,1,Left,No
12,2022,LF,Corey Dickerson,33,96,297,281,28,75,17,1,6,36,0,0,12,48,0.267,0.3,0.399,0.698,98,112,4,2,0,2,1,Left,No
13,2022,OF,Juan Yepez,24,76,274,253,27,64,13,0,12,30,0,0,16,61,0.253,0.296,0.447,0.742,109,113,6,1,0,4,0,Right,No
14,2022,C,Yadier Molina,39,78,270,262,19,56,8,0,5,24,2,0,5,40,0.214,0.233,0.302,0.535,52,79,10,2,0,1,0,Right,No
15,2022,SS,Paul DeJong,28,77,237,210,19,33,9,0,6,25,3,2,21,79,0.157,0.245,0.286,0.53,52,60,2,4,0,2,0,Right,No
16,2022,SS,Edmundo Sosa,26,53,131,122,17,23,4,3,0,8,3,1,4,38,0.189,0.244,0.27,0.515,48,33,3,5,0,0,0,Right,No
17,2022,UT,Alec Burleson,23,16,53,48,4,9,1,0,1,3,1,0,5,9,0.188,0.264,0.271,0.535,54,13,1,0,0,0,0,Left,No
18,2022,C,Austin Romine,33,11,28,26,2,4,1,0,0,0,0,0,2,7,0.154,0.214,0.192,0.407,18,5,0,0,0,0,0,Right,No
19,2022,CF,Ben DeLuzio,27,22,25,20,3,3,1,0,0,0,0,1,3,5,0.15,0.292,0.2,0.492,45,4,0,1,1,0,0,Right,No
20,2022,C,Iván Herrera,22,11,22,18,0,2,0,0,0,1,0,0,2,8,0.111,0.19,0.111,0.302,-10,2,0,0,1,1,0,Right,No
21,2022,OF,Conner Capel,25,9,19,17,1,3,0,0,1,2,0,0,1,2,0.176,0.211,0.353,0.563,58,6,0,0,0,1,0,Left,No
22,2022,DH,Kramer Robertson,27,2,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
23,2022,3B,Cory Spangenberg,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
24,2022,P,Jordan Hicks,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
25,2022,P,Jordan Montgomery,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
26,2022,P,José Quintana,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
27,2022,P,Jack Flaherty,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
28,2022,P,Matthew Liberatore,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
29,2022,P,Jake Woodford,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
30,2022,P,James Naile,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
31,2022,P,Nick Wittgren,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
32,2022,P,Génesis Cabrera,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
33,2022,P,Zack Thompson,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
34,2022,P,T.J. McFarland,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
35,2022,P,Jake Walsh,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
36,2022,P,Johan Oviedo,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
37,2022,P,Ryan Helsley,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
38,2022,P,JoJo Romero,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
39,2022,P,Angel Rondón,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
40,2022,P,Drew VerHagen,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
41,2022,P,Andre Pallante,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
42,2022,P,Junior Fernández,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
43,2022,P,Chris Stratton,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2022,P,Packy Naughton,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2022,P,Dakota Hudson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,2022,P,Adam Wainwright,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
47,2022,P,Miles Mikolas,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2022,P,Steven Matz,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
49,2022,P,Kodi Whitley,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2022,P,Giovanny Gallegos,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
51,2022,P,Aaron Brooks,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2021,C,Yadier Molina,38,121,473,440,45,111,19,0,11,66,3,0,24,79,0.252,0.297,0.37,0.667,84,163,16,5,0,3,1,Right,No
2,2021,1B,Paul Goldschmidt,33,158,679,603,102,177,36,2,31,99,12,0,67,136,0.294,0.365,0.514,0.879,141,310,13,4,0,5,2,Right,No
3,2021,2B,Tommy Edman,26,159,691,641,91,168,41,3,11,56,30,5,38,95,0.262,0.308,0.387,0.695,91,248,4,6,2,4,1,Right,Yes
4,2021,SS,Paul DeJong,27,113,402,356,44,70,10,1,19,45,4,1,35,103,0.197,0.284,0.39,0.674,85,139,6,9,0,2,0,Right,No
5,2021,3B,Nolan Arenado,30,157,653,593,81,151,34,3,34,105,2,0,50,96,0.255,0.312,0.494,0.807,119,293,20,3,0,7,8,Right,No
6,2021,LF,Tyler O'Neill,26,138,537,482,89,138,26,2,34,80,15,4,38,168,0.286,0.352,0.56,0.912,148,270,8,13,0,4,0,Right,No
7,2021,CF,Harrison Bader,27,103,401,367,45,98,21,1,16,50,9,4,27,85,0.267,0.324,0.46,0.785,114,169,4,5,0,2,6,Right,No
8,2021,RF,Dylan Carlson,22,149,619,542,79,144,31,4,18,65,2,1,57,152,0.266,0.343,0.437,0.78,115,237,5,11,1,8,2,Right,Yes
9,2021,MI,Edmundo Sosa,25,113,326,288,39,78,8,4,6,27,4,4,17,63,0.271,0.346,0.389,0.735,104,112,8,17,1,2,2,Right,No
10,2021,2B,Matt Carpenter,35,130,249,207,18,35,11,1,3,21,2,0,35,77,0.169,0.305,0.275,0.581,63,57,1,6,0,1,1,Left,No
11,2021,C,Andrew Knizner,26,63,185,161,18,28,7,0,1,9,0,0,20,39,0.174,0.281,0.236,0.517,46,38,7,4,0,0,2,Right,No
12,2021,OF,Justin Williams,25,51,137,119,10,19,0,0,4,11,0,1,17,46,0.16,0.27,0.261,0.531,49,31,2,1,0,0,5,Left,No
13,2021,RF,Lars Nootbaar,23,58,124,109,15,26,3,1,5,15,2,1,13,28,0.239,0.317,0.422,0.739,103,46,0,0,1,1,1,Left,No
14,2021,UT,José Rondon,27,63,90,80,13,21,3,0,3,9,2,0,8,17,0.263,0.322,0.413,0.735,102,33,1,0,0,2,0,Right,No
15,2021,OF,Lane Thomas,25,32,58,48,2,5,1,0,0,1,2,1,10,17,0.104,0.259,0.125,0.384,12,6,1,0,0,0,1,Right,No
16,2021,OF,Austin Dean,27,22,38,30,5,7,2,0,1,7,0,0,6,11,0.233,0.342,0.4,0.742,105,12,0,0,0,2,0,Right,No
17,2021,1B,John Nogowski,28,19,20,18,2,1,0,0,0,0,0,0,1,2,0.056,0.15,0.056,0.206,-39,1,1,1,0,0,0,Right,No
18,2021,IF,Max Moroff,28,6,16,16,0,1,0,0,0,1,0,0,0,10,0.063,0.063,0.063,0.125,-65,1,0,0,0,0,0,Right,Yes
19,2021,CF,Scott Hurst,25,7,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
20,2021,C,Ali Sánchez,24,2,4,4,0,2,2,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,302,4,0,0,0,0,0,Right,No
21,2021,P,Adam Wainwright,39,33,74,57,1,7,2,0,0,4,0,0,3,25,0.123,0.167,0.158,0.325,-9,9,2,0,14,0,0,Right,No
22,2021,P,Kwang Hyun Kim,32,25,29,26,0,3,1,0,0,2,0,0,0,9,0.115,0.148,0.154,0.302,-16,4,0,1,2,0,0,Left,No
23,2021,P,Jack Flaherty,25,15,26,17,2,2,0,0,1,3,0,0,5,7,0.118,0.304,0.294,0.598,68,5,0,0,3,1,0,Right,No
24,2021,P,Carlos Martinez,29,16,25,24,1,2,1,0,0,0,0,0,0,15,0.083,0.083,0.125,0.208,-43,3,0,0,1,0,0,Right,No
25,2021,P,Jon Lester,37,11,22,20,0,3,2,0,0,0,0,0,2,11,0.15,0.227,0.25,0.477,33,5,0,0,0,0,0,Left,No
26,2021,P,Johan Oviedo,23,13,22,20,3,3,0,0,0,2,0,0,2,9,0.15,0.227,0.15,0.377,8,3,0,0,0,0,0,Right,No
27,2021,P,Jake Woodford,24,24,20,18,0,2,0,0,0,0,0,0,0,9,0.111,0.111,0.111,0.222,-38,2,0,0,2,0,0,Right,No
28,2021,P,John Gant,28,22,18,13,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,-100,0,0,0,5,0,0,Right,No
29,2021,P,Miles Mikolas,32,9,15,8,0,0,0,0,0,0,0,0,1,5,0.0,0.111,0.0,0.111,-65,0,0,0,6,0,0,Right,No
30,2021,P,J.A. Happ,38,10,15,14,0,0,0,0,0,0,0,0,1,5,0.0,0.067,0.0,0.067,-79,0,0,0,0,0,0,Left,No
31,2021,P,Wade LeBlanc,36,11,13,11,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,2,0,0,Left,No
32,2021,P,Daniel Ponce de Leon,29,22,5,5,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
33,2021,P,Dakota Hudson,26,2,4,3,1,1,0,0,0,0,0,0,1,2,0.333,0.5,0.333,0.833,139,1,0,0,0,0,0,Right,No
34,2021,P,Seth Elledge,25,11,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
35,2021,P,Tyler Webb,30,21,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
36,2021,P,Alex Reyes,26,67,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
37,2021,P,Junior Fernández,24,16,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
38,2021,P,Brandon Waddell,27,4,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
39,2021,P,Jordan Hicks,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
40,2021,P,Andrew Miller,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
41,2021,P,Génesis Cabrera,24,68,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
42,2021,P,Roel Ramírez,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
43,2021,P,Luis García,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
44,2021,P,Brandon Dickson,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
45,2021,P,T.J. McFarland,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
46,2021,P,Bernardo Flores Jr.,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
47,2021,P,Justin Miller,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
48,2021,P,Ryan Helsley,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
49,2021,P,Angel Rondón,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,2021,P,Kodi Whitley,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
51,2021,P,Giovanny Gallegos,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,2020,C,Yadier Molina,37,42,156,145,12,38,2,0,4,16,0,0,6,21,0.262,0.303,0.359,0.662,83,52,7,3,1,1,0,Right,No
2,2020,1B,Paul Goldschmidt,32,58,231,191,31,58,13,0,6,21,1,0,37,43,0.304,0.417,0.466,0.883,145,89,4,1,0,1,0,Right,No
3,2020,2B,Kolten Wong,29,53,208,181,26,48,4,2,1,16,5,2,20,30,0.265,0.35,0.326,0.675,90,59,1,4,2,1,1,Left,No
4,2020,SS,Paul DeJong,26,45,174,152,17,38,6,0,3,25,1,0,17,50,0.25,0.322,0.349,0.671,87,53,4,1,0,4,0,Right,No
5,2020,3B,Matt Carpenter,34,50,169,140,22,26,6,0,4,24,0,0,23,48,0.186,0.325,0.314,0.64,79,44,1,6,0,0,1,Left,No
6,2020,LF,Tyler O'Neill,25,50,157,139,20,24,5,0,7,19,3,1,15,43,0.173,0.261,0.36,0.621,70,50,3,2,0,1,0,Right,No
7,2020,CF,Harrison Bader,26,50,125,106,21,24,7,2,4,11,3,1,13,40,0.226,0.336,0.443,0.779,114,47,2,5,0,1,0,Right,No
8,2020,RF,Dexter Fowler,34,31,101,90,14,21,2,0,4,15,1,1,10,28,0.233,0.317,0.389,0.706,95,35,2,1,0,0,0,Right,Yes
9,2020,DH,Brad Miller,30,48,171,142,21,33,8,1,7,25,1,0,25,46,0.232,0.357,0.451,0.807,122,64,2,3,0,1,1,Left,No
10,2020,UT,Tommy Edman,25,55,227,204,29,51,7,1,5,26,2,4,16,48,0.25,0.317,0.368,0.685,90,75,5,5,0,2,0,Right,Yes
11,2020,OF,Dylan Carlson,21,35,119,110,11,22,7,1,3,16,1,1,8,35,0.2,0.252,0.364,0.616,68,40,3,0,0,1,0,Right,Yes
12,2020,UT,Rangel Ravelo,28,13,41,35,5,6,1,0,1,6,0,0,4,6,0.171,0.244,0.286,0.53,47,10,0,0,0,2,0,Right,No
13,2020,C,Matt Wieters,34,19,41,35,3,7,1,0,0,4,0,0,3,10,0.2,0.3,0.229,0.529,50,8,1,2,1,0,0,Right,Yes
14,2020,OF,Lane Thomas,24,18,40,36,5,4,2,0,1,2,0,0,4,13,0.111,0.2,0.25,0.45,24,9,1,0,0,0,0,Right,No
15,2020,C,Andrew Knizner,25,8,17,16,1,4,1,0,0,4,0,0,0,5,0.25,0.235,0.313,0.548,50,5,2,0,0,1,0,Right,No
16,2020,IF,Max Schrock,25,11,17,17,1,3,0,0,1,1,0,0,0,6,0.176,0.176,0.353,0.529,42,6,0,0,0,0,0,Left,No
17,2020,UT,Austin Dean,26,3,7,4,1,1,1,0,0,0,0,0,3,2,0.25,0.571,0.5,1.071,202,2,0,0,0,0,0,Right,No
18,2020,RF,Justin Williams,24,3,6,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,54,1,0,0,0,0,0,Left,No
19,2020,1B,John Nogowski,27,1,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,40,1,0,0,0,0,0,Right,No
