Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,2023,SP,Miles Mikolas,34,9,13,0.409,4.78,35,35,0,0,0,0,201.1,226,110,107,26,39,0,137,8,0,4,860,91,4.27,1.316,10.1,1.2,1.7,6.1,3.51,Right,No
2,2023,SP,Jordan Montgomery,30,6,9,0.4,3.42,21,21,0,0,0,0,121.0,116,54,46,12,35,0,108,4,0,3,509,127,3.73,1.248,8.6,0.9,2.6,8.0,3.09,Left,No
3,2023,SP,Jack Flaherty,27,7,6,0.538,4.43,20,20,0,0,0,0,109.2,116,56,54,10,54,0,106,8,0,6,485,98,4.2,1.55,9.5,0.8,4.4,8.7,1.96,Right,No
4,2023,SP,Steven Matz,32,4,7,0.364,3.86,25,17,2,0,0,0,105.0,108,48,45,11,32,0,98,3,2,2,449,113,3.75,1.333,9.3,0.9,2.7,8.4,3.06,Left,No
5,2023,SP,Adam Wainwright,41,5,11,0.313,7.4,21,21,0,0,0,0,101.0,151,89,83,20,41,0,55,1,0,1,484,59,5.99,1.901,13.5,1.8,3.7,4.9,1.34,Right,No
6,2023,SP,Dakota Hudson,28,6,3,0.667,4.98,18,12,1,0,0,0,81.1,88,46,45,9,34,0,45,6,0,5,354,88,5.06,1.5,9.7,1.0,3.8,5.0,1.32,Right,No
7,2023,CL,Ryan Helsley,28,3,4,0.429,2.45,33,0,25,0,0,14,36.2,22,11,10,1,17,1,52,1,1,3,146,178,2.25,1.064,5.4,0.2,4.2,12.8,3.06,Right,No
8,2023,RP,Andre Pallante,24,4,1,0.8,4.76,62,0,9,0,0,0,68.0,76,37,36,6,30,0,43,3,1,6,302,92,4.59,1.559,10.1,0.8,4.0,5.7,1.43,Right,No
9,2023,RP,Drew VerHagen,32,5,1,0.833,3.98,60,0,15,0,0,0,61.0,52,30,27,9,26,2,60,9,1,3,268,110,4.93,1.279,7.7,1.3,3.8,8.9,2.31,Right,No
10,2023,RP,Giovanny Gallegos,31,2,4,0.333,4.42,56,0,16,0,0,10,55.0,54,28,27,11,12,0,59,0,1,3,229,99,4.36,1.2,8.8,1.8,2.0,9.7,4.92,Right,No
11,2023,RP,Chris Stratton,32,1,1,0.5,4.19,42,0,19,0,0,1,53.2,45,28,25,4,17,0,59,1,0,4,221,104,3.03,1.155,7.5,0.7,2.9,9.9,3.47,Right,No
12,2023,,Zack Thompson,25,5,7,0.417,4.48,25,9,1,0,0,0,66.1,69,35,33,8,25,0,72,2,0,3,287,97,3.87,1.417,9.4,1.1,3.4,9.8,2.88,Left,No
13,2023,,Matthew Liberatore,23,3,6,0.333,5.25,22,11,3,0,0,0,61.2,66,42,36,5,25,1,46,5,0,4,275,83,4.28,1.476,9.6,0.7,3.6,6.7,1.84,Left,No
14,2023,,Jake Woodford,26,2,3,0.4,6.23,15,8,1,0,0,0,47.2,61,34,33,11,22,0,29,3,0,3,222,70,6.61,1.741,11.5,2.1,4.2,5.5,1.32,Right,No
15,2023,,Jordan Hicks,26,1,6,0.143,3.67,40,0,16,0,0,8,41.2,39,21,17,2,24,0,59,3,0,7,189,119,2.99,1.512,8.4,0.4,5.2,12.7,2.46,Right,No
16,2023,,JoJo Romero,26,4,2,0.667,3.68,27,0,13,0,0,3,36.2,29,17,15,1,10,0,42,1,0,2,147,119,2.22,1.064,7.1,0.2,2.5,10.3,4.2,Left,No
17,2023,,Drew Rom,23,1,4,0.2,8.02,8,8,0,0,0,0,33.2,51,34,30,7,19,0,32,0,0,1,170,55,5.75,2.079,13.6,1.9,5.1,8.6,1.68,Left,No
18,2023,,Génesis Cabrera,26,1,1,0.5,5.06,32,0,10,0,0,0,32.0,32,18,18,6,18,0,38,0,1,0,143,87,5.01,1.563,9.0,1.7,5.1,10.7,2.11,Left,No
19,2023,,Andrew Suárez,30,0,0,0.0,7.16,13,0,6,0,0,0,27.2,33,27,22,7,15,0,17,0,0,2,130,61,6.94,1.735,10.7,2.3,4.9,5.5,1.13,Left,No
20,2023,,Casey Lawrence,35,1,0,1.0,6.59,15,0,7,0,0,0,27.1,32,20,20,7,10,2,20,2,0,0,122,67,6.44,1.537,10.5,2.3,3.3,6.6,2.0,Right,No
21,2023,,John King,28,1,0,1.0,1.45,20,0,1,0,0,0,18.2,19,3,3,1,6,0,10,0,0,0,76,306,3.84,1.339,9.2,0.5,2.9,4.8,1.67,Left,No
22,2023,,James Naile,30,0,0,0.0,8.8,10,0,6,0,0,0,15.1,27,19,15,1,9,0,7,0,0,0,80,50,4.95,2.348,15.8,0.6,5.3,4.1,0.78,Right,No
23,2023,,Jacob Barnes,33,0,1,0.0,5.93,13,0,5,0,0,0,13.2,18,11,9,1,3,0,8,1,0,0,61,75,3.91,1.537,11.9,0.7,2.0,5.3,2.67,Right,No
24,2023,,Packy Naughton,27,0,0,0.0,0.0,4,0,2,0,0,0,5.0,2,0,0,0,1,0,5,0,0,0,17,0,1.86,0.6,3.6,0.0,1.8,9.0,5.0,Left,No
25,2023,,Ryan Tepera,35,0,0,0.0,9.0,2,0,0,0,0,0,2.0,3,2,2,1,1,0,1,1,0,0,11,57,11.76,2.0,13.5,4.5,4.5,4.5,1.0,Right,No
26,2023,,Guillermo Zuñiga,24,0,0,0.0,4.5,2,0,2,0,0,0,2.0,2,1,1,0,0,0,4,0,0,0,8,113,-0.75,1.0,9.0,0.0,0.0,18.0,0.0,Right,No
27,2023,,Alec Burleson,24,0,0,0.0,21.6,2,0,2,0,0,0,1.2,8,4,4,1,0,0,1,0,0,0,13,24,9.86,4.8,43.2,5.4,0.0,5.4,0.0,Left,No
28,2023,,Kyle Leahy,26,0,1,0.0,21.6,3,0,0,0,0,0,1.2,4,4,4,1,5,0,2,1,0,0,15,24,19.46,5.4,21.6,5.4,27.0,10.8,0.4,Right,No
1,2022,SP,Miles Mikolas,33,12,13,0.48,3.29,33,32,0,1,0,0,202.1,170,81,74,25,39,0,153,6,1,1,805,118,3.87,1.033,7.6,1.1,1.7,6.8,3.92,Right,No
2,2022,SP,Adam Wainwright,40,11,12,0.478,3.71,32,32,0,1,0,0,191.2,192,80,79,16,54,1,143,7,0,5,803,105,3.66,1.283,9.0,0.8,2.5,6.7,2.65,Right,No
3,2022,SP,Dakota Hudson,27,8,7,0.533,4.45,27,26,0,0,0,0,139.2,141,71,69,9,61,0,78,9,0,4,596,88,4.34,1.446,9.1,0.6,3.9,5.0,1.28,Right,No
4,2022,SP,Jordan Montgomery,29,6,3,0.667,3.11,11,11,0,1,1,0,63.2,56,24,22,6,13,0,61,1,0,1,255,126,3.08,1.084,7.9,0.8,1.8,8.6,4.69,Left,No
5,2022,SP,José Quintana,33,3,2,0.6,2.01,12,12,0,0,0,0,62.2,54,18,14,1,16,0,48,1,0,0,247,195,2.6,1.117,7.8,0.1,2.3,6.9,3.0,Left,No
6,2022,CL,Ryan Helsley,27,9,1,0.9,1.25,54,0,33,0,0,19,64.2,28,11,9,6,20,1,94,0,0,1,239,313,2.34,0.742,3.9,0.8,2.8,13.1,4.7,Right,No
7,2022,RP,Andre Pallante,23,6,5,0.545,3.17,47,10,4,0,0,0,108.0,113,39,38,9,40,2,73,1,0,4,457,123,3.98,1.417,9.4,0.8,3.3,6.1,1.83,Right,No
8,2022,RP,Jordan Hicks,25,3,6,0.333,4.84,35,8,2,0,0,0,61.1,46,33,33,5,35,0,63,7,0,5,263,81,4.17,1.321,6.8,0.7,5.1,9.2,1.8,Right,No
9,2022,RP,Giovanny Gallegos,30,3,6,0.333,3.05,57,0,30,0,0,14,59.0,42,23,20,6,18,1,73,0,1,2,235,128,2.87,1.017,6.4,0.9,2.7,11.1,4.06,Right,No
10,2022,RP,Génesis Cabrera,25,4,2,0.667,4.63,39,0,4,0,0,1,44.2,39,24,23,8,20,3,32,4,0,1,194,85,5.62,1.321,7.9,1.6,4.0,6.4,1.6,Left,No
11,2022,,Jake Woodford,25,4,0,1.0,2.23,27,1,16,0,0,0,48.1,43,13,12,1,11,1,24,1,0,3,188,176,3.13,1.117,8.0,0.2,2.0,4.5,2.18,Right,No
12,2022,,Steven Matz,31,5,3,0.625,5.25,15,10,1,0,0,0,48.0,50,28,28,8,10,0,54,2,0,1,207,75,3.78,1.25,9.4,1.5,1.9,10.1,5.4,Left,No
13,2022,,Jack Flaherty,26,2,1,0.667,4.25,9,8,0,0,0,0,36.0,36,18,17,4,22,0,33,5,0,0,167,93,4.97,1.611,9.0,1.0,5.5,8.3,1.5,Right,No
14,2022,,Matthew Liberatore,22,2,2,0.5,5.97,9,7,1,0,0,0,34.2,42,23,23,5,18,0,28,1,0,5,161,66,5.02,1.731,10.9,1.3,4.7,7.3,1.56,Left,No
15,2022,,Zack Thompson,24,1,1,0.5,2.08,22,1,4,0,0,1,34.2,20,9,8,3,14,0,27,0,0,1,136,189,3.89,0.981,5.2,0.8,3.6,7.0,1.93,Left,No
16,2022,,T.J. McFarland,33,0,0,0.0,6.61,28,0,11,0,0,0,32.2,42,26,24,5,11,0,16,2,0,2,145,60,5.32,1.622,11.6,1.4,3.0,4.4,1.45,Left,No
17,2022,,Packy Naughton,26,0,2,0.0,4.78,26,3,5,0,0,1,32.0,39,17,17,3,7,1,31,1,0,1,141,82,3.14,1.438,11.0,0.8,2.0,8.7,4.43,Left,No
18,2022,,Nick Wittgren,31,1,0,1.0,5.9,29,0,9,0,0,1,29.0,35,19,19,1,10,0,17,4,0,3,134,67,3.84,1.552,10.9,0.3,3.1,5.3,1.7,Right,No
19,2022,,Johan Oviedo,24,2,1,0.667,3.2,14,1,3,0,0,0,25.1,26,9,9,4,7,0,26,1,1,1,108,124,4.06,1.303,9.2,1.4,2.5,9.2,3.71,Right,No
20,2022,,Chris Stratton,31,5,0,1.0,2.78,20,0,9,0,0,0,22.2,22,8,7,0,12,0,23,1,0,1,98,142,2.8,1.5,8.7,0.0,4.8,9.1,1.92,Right,No
21,2022,,Drew VerHagen,31,3,1,0.75,6.65,19,0,3,0,0,0,21.2,27,18,16,5,14,1,18,1,0,0,106,60,6.53,1.892,11.2,2.1,5.8,7.5,1.29,Right,No
22,2022,,Junior Fernández,25,0,0,0.0,2.93,13,0,2,0,0,0,15.1,17,6,5,3,8,0,12,1,0,1,70,136,5.85,1.63,10.0,1.8,4.7,7.0,1.5,Right,No
23,2022,,JoJo Romero,25,0,0,0.0,3.77,15,0,4,0,0,0,14.1,9,6,6,2,9,0,16,0,0,0,57,106,4.58,1.256,5.7,1.3,5.7,10.0,1.78,Left,No
24,2022,,Kodi Whitley,27,2,0,1.0,5.68,14,0,5,0,0,0,12.2,11,8,8,2,9,0,12,2,0,0,59,71,5.88,1.579,7.8,1.4,6.4,8.5,1.33,Right,No
25,2022,,Aaron Brooks,32,0,0,0.0,7.71,5,0,3,0,0,0,9.1,11,8,8,3,2,0,7,1,0,0,43,53,6.75,1.393,10.6,2.9,1.9,6.8,3.5,Right,No
26,2022,,James Naile,29,0,0,0.0,5.0,7,0,4,0,0,0,9.0,8,5,5,2,2,0,5,0,0,0,37,81,5.56,1.111,8.0,2.0,2.0,5.0,2.5,Right,No
27,2022,,Angel Rondón,24,1,0,1.0,0.0,1,0,0,0,0,0,5.0,1,0,0,0,3,0,4,0,0,0,20,0,3.31,0.8,1.8,0.0,5.4,7.2,1.33,Right,No
28,2022,,Jake Walsh,26,0,1,0.0,13.5,3,0,1,0,0,0,2.2,3,4,4,0,2,0,5,1,0,0,15,33,2.74,1.875,10.1,0.0,6.8,16.9,2.5,Right,No
29,2022,,Yadier Molina,39,0,0,0.0,18.0,2,0,2,0,0,0,2.0,6,4,4,2,0,0,1,0,0,0,12,26,15.11,3.0,27.0,9.0,0.0,4.5,0.0,Right,No
30,2022,,Corey Dickerson,33,0,0,0.0,0.0,1,0,1,0,0,0,1.0,2,0,0,0,1,0,0,0,0,0,6,0,6.11,3.0,18.0,0.0,9.0,0.0,0.0,Right,No
31,2022,,Albert Pujols,42,0,0,0.0,36.0,1,0,1,0,0,0,1.0,3,4,4,2,1,0,0,0,0,0,7,15,32.11,4.0,27.0,18.0,9.0,0.0,0.0,Right,No
32,2022,,Andrew Knizner,27,0,0,0.0,0.0,1,0,1,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,3,0,3.11,1.5,13.5,0.0,0.0,0.0,0.0,Right,No
1,2021,SP,Adam Wainwright,39,17,7,0.708,3.05,32,32,0,3,1,0,206.1,168,72,70,21,50,3,174,9,1,4,828,128,3.66,1.057,7.3,0.9,2.2,7.6,3.48,Right,No
2,2021,SP,Kwang Hyun Kim,32,7,7,0.5,3.46,27,21,2,0,0,1,106.2,98,46,41,12,39,2,80,4,0,4,452,113,4.34,1.284,8.3,1.0,3.3,6.8,2.05,Left,No
3,2021,SP,Carlos Martinez,29,4,9,0.308,6.23,16,16,0,0,0,0,82.1,77,58,57,8,36,2,57,11,0,3,363,63,4.76,1.372,8.4,0.9,3.9,6.2,1.58,Right,No
4,2021,SP,Jack Flaherty,25,9,2,0.818,3.22,17,15,0,0,0,0,78.1,57,35,28,12,26,1,85,6,0,4,322,122,4.22,1.06,6.5,1.4,3.0,9.8,3.27,Right,No
5,2021,SP,John Gant,28,4,6,0.4,3.42,25,14,4,0,0,0,76.1,64,32,29,6,56,2,56,5,0,0,345,115,5.12,1.572,7.5,0.7,6.6,6.6,1.0,Right,No
6,2021,SP,Johan Oviedo,23,0,5,0.0,4.91,14,13,0,0,0,0,62.1,61,39,34,8,37,2,51,6,0,2,288,80,5.27,1.572,8.8,1.2,5.3,7.4,1.38,Right,No
7,2021,CL,Alex Reyes,26,10,8,0.556,3.24,69,0,54,0,0,29,72.1,46,32,26,9,52,1,95,2,1,10,317,122,4.4,1.355,5.7,1.1,6.5,11.8,1.83,Right,No
8,2021,RP,Giovanny Gallegos,29,6,5,0.545,3.02,73,0,20,0,0,14,80.1,51,28,27,6,20,2,95,6,0,4,310,130,2.75,0.884,5.7,0.7,2.2,10.6,4.75,Right,No
9,2021,RP,Génesis Cabrera,24,4,5,0.444,3.73,71,0,5,0,0,0,70.0,52,31,29,3,36,2,77,5,0,9,296,105,3.28,1.257,6.7,0.4,4.6,9.9,2.14,Left,No
10,2021,RP,Ryan Helsley,26,6,4,0.6,4.56,51,0,7,0,0,1,47.1,40,24,24,4,27,2,47,0,0,7,206,86,3.99,1.415,7.6,0.8,5.1,8.9,1.74,Right,No
11,2021,RP,Andrew Miller,36,0,0,0.0,4.75,40,0,6,0,0,0,36.0,41,19,19,5,16,1,40,5,0,1,164,83,4.5,1.583,10.3,1.3,4.0,10.0,2.5,Left,No
12,2021,,Jake Woodford,24,3,4,0.429,3.99,26,8,4,0,0,0,67.2,66,32,30,7,25,0,50,8,0,2,293,99,4.5,1.345,8.8,0.9,3.3,6.7,2.0,Right,No
13,2021,,Jon Lester,37,4,1,0.8,4.36,12,12,0,0,0,0,66.0,68,34,32,11,26,2,40,2,0,0,285,90,5.4,1.424,9.3,1.5,3.5,5.5,1.54,Left,No
14,2021,,J.A. Happ,38,5,2,0.714,4.0,11,11,0,0,0,0,54.0,52,24,24,9,17,0,45,0,0,1,226,98,4.61,1.278,8.7,1.5,2.8,7.5,2.65,Left,No
15,2021,,Miles Mikolas,32,2,3,0.4,4.23,9,9,0,0,0,0,44.2,43,24,21,6,11,0,31,2,0,1,186,93,4.4,1.209,8.7,1.2,2.2,6.2,2.82,Right,No
16,2021,,Wade LeBlanc,36,0,1,0.0,3.61,12,8,1,0,0,0,42.1,45,17,17,7,16,3,23,3,0,0,188,109,5.58,1.441,9.6,1.5,3.4,4.9,1.44,Left,No
17,2021,,T.J. McFarland,32,4,1,0.8,2.56,38,0,7,0,0,0,38.2,32,11,11,3,9,1,21,0,0,0,144,154,3.79,1.06,7.4,0.7,2.1,4.9,2.33,Left,No
18,2021,,Daniel Ponce de Leon,29,1,1,0.5,6.21,24,2,9,0,0,2,33.1,32,24,23,5,22,1,24,5,0,2,158,64,6.11,1.62,8.6,1.4,5.9,6.5,1.09,Right,No
19,2021,,Luis García,34,1,1,0.5,3.24,34,0,6,0,0,2,33.1,25,12,12,2,8,1,34,1,0,3,135,122,2.72,0.99,6.8,0.5,2.2,9.2,4.25,Right,No
20,2021,,Kodi Whitley,26,0,0,0.0,2.49,25,0,6,0,0,0,25.1,15,8,7,1,12,0,27,0,1,1,101,160,2.97,1.066,5.3,0.4,4.3,9.6,2.25,Right,No
21,2021,,Junior Fernández,24,1,0,1.0,5.66,18,0,11,0,0,0,20.2,25,13,13,2,15,1,15,0,1,1,97,70,5.15,1.935,10.9,0.9,6.5,6.5,1.0,Right,No
22,2021,,Tyler Webb,30,0,0,0.0,13.22,22,0,4,0,0,0,16.1,22,26,24,1,19,1,14,0,0,1,92,30,5.74,2.51,12.1,0.6,10.5,7.7,0.74,Left,No
23,2021,,Justin Miller,34,1,0,1.0,4.5,18,0,5,0,0,1,16.0,15,8,8,2,5,0,9,2,0,0,68,89,4.98,1.25,8.4,1.1,2.8,5.1,1.8,Right,No
24,2021,,Seth Elledge,25,0,0,0.0,4.63,11,0,2,0,0,0,11.2,13,6,6,1,7,0,11,1,0,1,52,87,4.46,1.714,10.0,0.8,5.4,8.5,1.57,Right,No
25,2021,,Jordan Hicks,24,0,0,0.0,5.4,10,0,1,0,0,0,10.0,5,6,6,0,10,0,10,0,0,3,44,75,4.17,1.5,4.5,0.0,9.0,9.0,1.0,Right,No
26,2021,,Dakota Hudson,26,1,0,1.0,2.08,2,1,0,0,0,0,8.2,7,2,2,0,1,0,6,1,0,1,34,197,2.48,0.923,7.3,0.0,1.0,6.2,6.0,Right,No
27,2021,,Brandon Waddell,27,0,0,0.0,4.15,4,0,2,0,0,0,4.1,4,2,2,0,5,0,6,0,0,1,22,103,3.86,2.077,8.3,0.0,10.4,12.5,1.2,Left,No
28,2021,,Brandon Dickson,36,0,0,0.0,13.5,2,0,1,0,0,0,2.0,5,3,3,1,0,0,1,0,0,0,10,35,8.67,2.5,22.5,4.5,0.0,4.5,0.0,Right,No
29,2021,,Angel Rondón,23,0,0,0.0,0.0,2,0,1,0,0,0,2.0,1,0,0,0,1,0,1,0,0,0,7,0,3.67,1.0,4.5,0.0,4.5,4.5,1.0,Right,No
30,2021,,Matt Carpenter,35,0,0,0.0,0.0,1,0,1,0,0,0,1.1,2,0,0,0,0,0,0,1,0,0,6,0,5.42,1.5,13.5,0.0,0.0,0.0,0.0,Right,No
31,2021,,Roel Ramírez,26,0,0,0.0,81.0,1,0,0,0,0,0,0.1,1,3,3,0,2,0,0,0,0,0,4,11,21.17,9.0,27.0,0.0,54.0,0.0,0.0,Right,No
32,2021,,John Nogowski,28,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,No
33,2021,,Bernardo Flores Jr.,25,0,0,0.0,inf,1,0,0,0,0,0,0.0,1,1,1,0,2,0,0,0,0,0,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,No
1,2020,SP,Adam Wainwright,38,5,3,0.625,3.15,10,10,0,2,0,0,65.2,54,25,23,9,15,0,54,2,0,0,262,133,4.1,1.051,7.4,1.2,2.1,7.4,3.6,Right,No
2,2020,SP,Jack Flaherty,24,4,3,0.571,4.91,9,9,0,0,0,0,40.1,33,22,22,6,16,0,49,3,0,1,170,86,4.11,1.215,7.4,1.3,3.6,10.9,3.06,Right,No
3,2020,SP,Dakota Hudson,25,3,2,0.6,2.77,8,8,0,0,0,0,39.0,24,13,12,5,15,1,31,1,0,0,151,152,4.5,1.0,5.5,1.2,3.5,7.2,2.07,Right,No
4,2020,SP,Kwang Hyun Kim,31,3,0,1.0,1.62,8,7,1,0,0,1,39.0,28,9,7,3,12,2,24,0,0,1,154,260,3.88,1.026,6.5,0.7,2.8,5.5,2.0,Left,No
5,2020,SP,Daniel Ponce de Leon,28,1,3,0.25,4.96,9,8,1,0,0,0,32.2,23,18,18,8,20,0,45,2,0,0,143,85,5.64,1.316,6.3,2.2,5.5,12.4,2.25,Right,No
6,2020,SP,Johan Oviedo,22,0,3,0.0,5.47,5,5,0,0,0,0,24.2,24,18,15,3,10,0,16,5,0,4,112,77,5.3,1.378,8.8,1.1,3.6,5.8,1.6,Right,No
7,2020,CL,Giovanny Gallegos,28,2,2,0.5,3.6,16,0,7,0,0,4,15.0,9,6,6,1,4,0,21,0,0,1,57,119,2.06,0.867,5.4,0.6,2.4,12.6,5.25,Right,No
8,2020,RP,Génesis Cabrera,23,4,1,0.8,2.42,19,0,1,0,0,1,22.1,10,9,6,3,16,0,32,4,0,3,96,175,4.76,1.164,4.0,1.2,6.4,12.9,2.0,Left,No
9,2020,RP,Tyler Webb,29,1,1,0.5,2.08,21,0,5,0,0,1,21.2,17,5,5,2,7,0,19,0,0,1,87,204,3.61,1.108,7.1,0.8,2.9,7.9,2.71,Left,No
10,2020,RP,John Gant,27,0,3,0.0,2.4,17,0,2,0,0,0,15.0,9,6,4,0,7,0,18,0,0,1,61,178,2.19,1.067,5.4,0.0,4.2,10.8,2.57,Right,No
11,2020,RP,Andrew Miller,35,1,1,0.5,2.77,16,0,5,0,0,4,13.0,9,4,4,0,5,0,16,3,0,2,55,155,2.58,1.077,6.2,0.0,3.5,11.1,3.2,Left,No
12,2020,,Austin Gomber,26,1,1,0.5,1.86,14,4,2,0,0,0,29.0,19,6,6,1,15,0,27,2,0,1,119,227,3.54,1.172,5.9,0.3,4.7,8.4,1.8,Left,No
13,2020,,Jake Woodford,23,1,0,1.0,5.57,12,1,4,0,0,0,21.0,20,13,13,7,5,0,16,0,0,1,85,76,6.71,1.19,8.6,3.0,2.1,6.9,3.2,Right,No
14,2020,,Carlos Martinez,28,0,3,0.0,9.9,5,5,0,0,0,0,20.0,32,26,22,6,10,2,17,0,0,0,104,43,6.89,2.1,14.4,2.7,4.5,7.7,1.7,Right,No
15,2020,,Alex Reyes,25,2,1,0.667,3.2,15,1,5,0,0,1,19.2,14,10,7,1,14,1,27,0,0,2,86,133,3.24,1.424,6.4,0.5,6.4,12.4,1.93,Right,No
16,2020,,Ryan Helsley,25,1,1,0.5,5.25,12,0,4,0,0,1,12.0,8,8,7,3,8,1,10,1,0,0,52,82,7.02,1.333,6.0,2.3,6.0,7.5,1.25,Right,No
17,2020,,Seth Elledge,24,1,0,1.0,4.63,12,0,5,0,0,0,11.2,11,6,6,2,8,0,14,1,0,2,52,93,5.33,1.629,8.5,1.5,6.2,10.8,1.75,Right,No
18,2020,,Nabil Crismatt,25,0,0,0.0,3.24,6,0,6,0,0,0,8.1,6,3,3,2,1,1,8,0,0,0,31,134,4.75,0.84,6.5,2.2,1.1,8.6,8.0,Right,No
19,2020,,Ricardo Sanchez,23,0,0,0.0,6.75,3,0,1,0,0,0,5.1,5,4,4,1,5,0,4,1,1,0,27,66,7.5,1.875,8.4,1.7,8.4,6.8,0.8,Left,No
20,2020,,Rob Kaminsky,25,0,0,0.0,1.93,5,0,3,0,0,0,4.2,3,3,1,0,2,0,3,0,0,0,21,233,3.19,1.071,5.8,0.0,3.9,5.8,1.5,Left,No
21,2020,,Kodi Whitley,25,0,0,0.0,1.93,4,0,1,0,0,0,4.2,2,1,1,1,1,0,5,0,0,0,17,233,4.48,0.643,3.9,1.9,1.9,9.6,5.0,Right,No
22,2020,,Junior Fernández,23,0,0,0.0,18.0,3,0,2,0,0,0,3.0,6,6,6,1,2,0,2,0,0,0,16,26,8.19,2.667,18.0,3.0,6.0,6.0,1.0,Right,No
23,2020,,Ryan Meisinger,26,0,0,0.0,0.0,2,0,0,0,0,0,2.2,1,0,0,0,4,0,3,1,0,0,13,0,6.57,1.875,3.4,0.0,13.5,10.1,0.75,Right,No
24,2020,,Max Schrock,25,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,Right,No
25,2020,,Jesus Cruz,25,0,0,0.0,18.0,1,0,0,0,0,0,1.0,3,2,2,0,1,0,2,0,0,0,7,32,2.19,4.0,27.0,0.0,9.0,18.0,2.0,Right,No
26,2020,,Roel Ramírez,25,0,0,0.0,81.0,1,0,0,0,0,0,0.2,6,6,6,4,1,0,1,0,0,1,8,8,82.69,10.5,81.0,54.0,13.5,13.5,1.0,Right,No
1,2019,SP,Jack Flaherty,23,11,8,0.579,2.75,33,33,0,0,0,0,196.1,135,62,60,25,55,2,231,7,0,6,772,152,3.46,0.968,6.2,1.1,2.5,10.6,4.2,Right,No
2,2019,SP,Miles Mikolas,30,9,14,0.391,4.16,32,32,0,1,1,0,184.0,193,90,85,27,32,1,144,12,2,5,764,101,4.27,1.223,9.4,1.3,1.6,7.0,4.5,Right,No
3,2019,SP,Dakota Hudson,24,16,7,0.696,3.35,33,32,1,0,0,1,174.2,160,80,65,22,86,8,136,9,0,5,757,125,4.93,1.408,8.2,1.1,4.4,7.0,1.58,Right,No
4,2019,SP,Adam Wainwright,37,14,10,0.583,4.19,31,31,0,0,0,0,171.2,181,83,80,22,64,7,153,8,0,2,745,100,4.36,1.427,9.5,1.2,3.4,8.0,2.39,Right,No
5,2019,SP,Michael Wacha,27,6,7,0.462,4.76,29,24,0,0,0,0,126.2,143,71,67,26,55,4,104,3,0,2,562,88,5.61,1.563,10.2,1.8,3.9,7.4,1.89,Right,No
6,2019,CL,Carlos Martinez,27,4,2,0.667,3.17,48,0,38,0,0,24,48.1,39,18,17,2,18,1,53,3,0,2,200,133,2.86,1.179,7.3,0.4,3.4,9.9,2.94,Right,No
7,2019,RP,Giovanny Gallegos,27,3,2,0.6,2.31,66,0,10,0,0,1,74.0,44,19,19,9,16,2,93,3,1,3,279,182,3.05,0.811,5.4,1.1,1.9,11.3,5.81,Right,No
8,2019,RP,John Brebbia,29,3,4,0.429,3.59,66,0,22,0,0,0,72.2,59,31,29,6,27,2,87,3,0,0,304,117,3.13,1.183,7.3,0.7,3.3,10.8,3.22,Right,No
9,2019,RP,Tyler Webb,28,2,1,0.667,3.76,65,0,11,0,0,1,55.0,33,23,23,7,23,3,48,2,0,2,221,112,4.49,1.018,5.4,1.1,3.8,7.9,2.09,Left,No
10,2019,RP,Andrew Miller,34,5,6,0.455,4.45,73,0,11,0,0,6,54.2,45,32,27,11,27,1,70,8,0,4,236,95,5.19,1.317,7.4,1.8,4.4,11.5,2.59,Left,No
11,2019,,John Gant,26,11,1,0.917,3.66,64,0,13,0,0,3,66.1,51,29,27,4,34,1,60,0,0,1,269,115,3.73,1.281,6.9,0.5,4.6,8.1,1.76,Right,No
12,2019,,Daniel Ponce de Leon,27,1,2,0.333,3.7,13,8,1,0,0,0,48.2,36,21,20,6,26,3,52,2,0,2,203,114,4.41,1.274,6.7,1.1,4.8,9.6,2.0,Right,No
13,2019,,Dominic Leone,27,1,0,1.0,5.53,40,0,11,0,0,1,40.2,39,28,25,9,22,2,46,0,0,1,180,76,5.45,1.5,8.6,2.0,4.9,10.2,2.09,Right,No
14,2019,,Ryan Helsley,24,2,0,1.0,2.95,24,0,4,0,0,0,36.2,34,13,12,5,12,2,32,0,1,2,153,143,4.22,1.255,8.3,1.2,2.9,7.9,2.67,Right,No
